publication_id,Lien Google Scholar,Editors,Book,Publisher,chercheur,chercheur_id,Titre_publication,Auteurs,Lien,Journal,Conference,date_publication,Volumes,nombre_pages,Type
stvng2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:Y0pCki6q_DkC,Springer Nature Switzerland,International Conference on Machine Learning for Networking,Springer,BOUSSAHA  Ryma,11,Study of masquerade attack in VANETs with machine learning,Yasmine Chaouche and Éric Renault and Ryma Boussaha,https://doi.org/10.1007/978-3-031-59933-0_12,,"Machine Learning for Networking - 6th International Conference, MLN 2023, Paris, France, November 28-30, 2023, Revised Selected Papers",2023,,167-184,conference
wetns2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:zYLM7Y9cAGgC,IEEE,,IEEE,BOUSSAHA  Ryma,11,WEKA-based real-time attack detection for VANET simulations,Yasmine Chaouche and Éric Renault and Ryma Boussaha,https://doi.org/10.23919/SoftCOM58365.2023.10271621,,"2023 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",2023,,1-6,conference
efrng2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:W7OEmFMy1HYC,IEEE,,,BOUSSAHA  Ryma,11,Efficient Disaster-Resilient Network Slicing for URLLC in UAV-Enabled MEC Using Federated Learning,Ryma Boussaha and Yacine Challal,,,"2024 IEEE 21st International Conference on Smart Communities: Improving Quality of Life using AI, Robotics and IoT (HONET)",2024,,67-72,conference
ansct2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:8k81kl-MbHgC,,,,CHALAL Rachid,12,An assistance environment for the classification of knowledge on risk project.,R Chalal and R Ouamane,,WSEAS Transactions on Computers,,2003,2,515-520,journal
clsts2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:qjMakFHDy7sC,,,,CHALAL Rachid,12,Classification des risques dans les projets,Razika OUAMANE,,,,2003,,,
unses2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:u-x6o8ySG0sC,,,,CHALAL Rachid,12,Une approche hybride pour la constitution d'un référentiel risques,R Chalal and AM Alquier,,"CPI'2003, 3rd International Conference: Integrated Design and Production, Maroc",,2003,,,journal
aneon2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:u5HHmVD_uO8C,,,,CHALAL Rachid,12,An approach for a bidding process knowledge capitalization,Rachid Chalal and AR Ghomari,,"world academy of science, Engineering and technology",,2006,13,293-297,journal
cotle2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:2osOgNQ5qMEC,,,,CHALAL Rachid,12,Constitution d'une mémoire sur les risques dans les projets et son intégration dans le système d'information de l'entreprise industrielle,R Chalal and F Nader,,"MOSIM'06, 6e Conférence Francophone de MOdélisation et SIMulation, Rabat, Maroc",,2006,,,journal
agiss2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:eQOLeE2rZwMC,,,,CHALAL Rachid,12,A generic approach for the design of organizational decision support systems (ODSS),Rachid Chalal and Fahima Nader,,INFOCOMP Journal of Computer Science,,2007,6,47-56,journal
buich2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:WF5omc3nYNoC,,,,CHALAL Rachid,12,Business Knowledge Acquisition Methodological Approach.,Abdessamed Réda Ghomari and Rachid Chalal and Anne-Marie Alquier,http://net2.shams.edu.eg/ecs/May2007_a10.htm,Egypt. Comput. Sci. J.,,2007,29,,journal
orsss2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:BUYA1_V_uYcC,IEEE,,,CHALAL Rachid,12,Organizational Decision Support System (ODSS) for the bidding process,Fahima Nader and Rachid Chalal,,,2008 3rd International Conference on Information and Communication Technologies: From Theory to Applications,2008,,1-7,conference
turgn2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:Se3iqnhoufwC,Inderscience Publishers,,,CHALAL Rachid,12,"TUPROD, an assistant Tool for the dUrable PROduct Design",Rachid Chalal and Abdessamed Reda Ghomari,,International Journal of Environmental Technology and Management,,2008,8,23-36,journal
unoue2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:9yKSN-GCB0IC,"Colloque international de Veille Stratégique, Scientifique et Technologique (VSST), Toulouse",,,CHALAL Rachid,12,Une approche d'ingénierie des besoins pour la conception des systèmes d'information d'intelligence économique,Ammar Boukrara and Rachid Chalal,,,,2010,,,
andes2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:KlAtU1dfN6UC,,,,CHALAL Rachid,12,A New Decision Support System Based on Agents Dedicated to Service-Oriented Architectures,Fatima Boumahdi and Rachid Chalal,,American Academic & Scholarly Research Journal,,2012,4,,journal
mutml2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:olpn-zPbct0C,"World Academy of Science, Engineering and Technology",,,CHALAL Rachid,12,"Multi-level Metadata Integration System: XML, RDF and RuleML",Messaouda Fareh and Omar Boussaid and Rachid Challal,,"Proceedings of World Academy of Science, Engineering and Technology",,2012,,,journal
sprch2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:IjCSPb-OGe4C,Inderscience Publishers Ltd,,,CHALAL Rachid,12,Specification of useful information for the strategic decision support: risks-based approach,Ammar Boukrara and Rachid Chalal,,"International Journal of Decision Sciences, Risk and Management",,2012,4,276-293,journal
abiel2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:_axFR9aDTf0C,Springer,,,CHALAL Rachid,12,"Abdelmalek, Abdelhafid Abdi, Mustapha Kamel",Abdelghani Achouri and Djamil Aïssani and Ahmed Bouridane and Ouanes Aissaoui and Omar Boussaid and Zina Ait-Yakoub and Lydia Bouzar-Benlabiod and Makhlouf Aliouat and Farou Brahim and Zibouda Aliouat and Nadia Aloui and Rachid Chalal and Mourad Amad and Allaoua Chaoui and Yamine Ait Ameur and Abdelkrim Chebieb and Abdelmalek Amine and Chahira Cherif and Abdelkrim Amirat and Noureddine Aribi and Mohammed Amine Chikh and Salim Chitroub and Mokdad Arous and Yasmina Assoul-Semmar and Anne-Marie Déplanche and Fadila Atil and Steve Descoteaux and Faiçal Azouaou and Yacine Djebar and Mounir Beggas and Yassine Djouadi and Adel Benamira and Lydia Nahla Driff and Nawel Bendimerad and Safia Bendjebar and Salem Benferhat and Naima Benkahla and Boucif Amar Bensaber and Mouchira Bensari and Lamia Berkani and Ismaïl Biskri and Azeddine Bilami and Frédéric Boniol and Thouraya Bouabana-Tebibel and Saliha Bouagar and Souâad Boudebza and Abdelmalek Boudries and Messaouda Fareh and Mohammed Feham and Cherif Foudil,,Modeling Approaches and Algorithms for Advanced Computer Applications,,2013,488,439,journal
anses2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:MXK_kJrjxJIC,Inderscience Publishers Ltd,,,CHALAL Rachid,12,An overview of XML warehouse design approaches and techniques,Zoubir Ouaret and Rachid Chalal and Omar Boussaid,https://doi.org/10.1504/IJICOT.2013.059729,Int. J. Inf. Coding Theory,,2013,2,140-170,journal
